date,close
27 Aug 14,4569.62
26 Aug 14,4570.64
25 Aug 14,4557.35
22 Aug 14,4538.55
21 Aug 14,4532.10
20 Aug 14,4526.48
19 Aug 14,4527.51
18 Aug 14,4508.31
15 Aug 14,4464.93
14 Aug 14,4453.00
13 Aug 14,4434.13
12 Aug 14,4389.25
11 Aug 14,4401.33
08 Aug 14,4370.90
07 Aug 14,4334.97
06 Aug 14,4355.05
05 Aug 14,4352.84
04 Aug 14,4383.89
01 Aug 14,4352.64
31 Jul 14,4369.77
30 Jul 14,4462.90
29 Jul 14,4442.70
28 Jul 14,4444.91
25 Jul 14,4449.56
24 Jul 14,4472.11
23 Jul 14,4473.70
22 Jul 14,4456.02
21 Jul 14,4424.70
18 Jul 14,4432.15
17 Jul 14,4363.45
16 Jul 14,4425.97
15 Jul 14,4416.39
14 Jul 14,4440.42
11 Jul 14,4415.49
10 Jul 14,4396.20
09 Jul 14,4419.03
08 Jul 14,4391.46
07 Jul 14,4451.53
03 Jul 14,4485.93
02 Jul 14,4457.73
01 Jul 14,4458.65
30 Jun 14,4408.18
27 Jun 14,4397.93
26 Jun 14,4379.05
25 Jun 14,4379.76
24 Jun 14,4350.35
23 Jun 14,4368.68
20 Jun 14,4368.04
19 Jun 14,4359.33
18 Jun 14,4362.84
17 Jun 14,4337.23
16 Jun 14,4321.10
13 Jun 14,4310.65
12 Jun 14,4297.63
11 Jun 14,4331.93
10 Jun 14,4338.00
09 Jun 14,4336.24
06 Jun 14,4321.40
05 Jun 14,4296.23
04 Jun 14,4251.64
03 Jun 14,4234.08
02 Jun 14,4237.20
30 May 14,4242.62
29 May 14,4247.95
28 May 14,4225.08
27 May 14,4237.07
23 May 14,4185.81
22 May 14,4154.34
21 May 14,4131.54
20 May 14,4096.89
19 May 14,4125.81
16 May 14,4090.59
15 May 14,4069.29
14 May 14,4100.63
13 May 14,4130.17
12 May 14,4143.86
09 May 14,4071.87
08 May 14,4051.50
07 May 14,4067.67
06 May 14,4080.76
05 May 14,4138.06
02 May 14,4123.90
01 May 14,4127.45
30 Apr 14,4114.56
29 Apr 14,4103.54
28 Apr 14,4074.40
25 Apr 14,4075.56
24 Apr 14,4148.34
23 Apr 14,4126.97
22 Apr 14,4161.46
21 Apr 14,4121.55
17 Apr 14,4095.52
16 Apr 14,4086.23
15 Apr 14,4034.16
14 Apr 14,4022.69
11 Apr 14,3999.73
10 Apr 14,4054.11
09 Apr 14,4183.90
08 Apr 14,4112.99
07 Apr 14,4079.75
04 Apr 14,4127.73
03 Apr 14,4237.74
02 Apr 14,4276.46
01 Apr 14,4268.04
31 Mar 14,4198.99
28 Mar 14,4155.76
27 Mar 14,4151.23
26 Mar 14,4173.58
25 Mar 14,4234.27
24 Mar 14,4226.39
21 Mar 14,4276.79
20 Mar 14,4319.29
19 Mar 14,4307.60
18 Mar 14,4333.31
17 Mar 14,4279.95
14 Mar 14,4245.40
13 Mar 14,4260.42
12 Mar 14,4323.33
11 Mar 14,4307.19
10 Mar 14,4334.45
07 Mar 14,4336.22
06 Mar 14,4352.13
05 Mar 14,4357.97
04 Mar 14,4351.97
03 Mar 14,4277.30
28 Feb 14,4308.12
27 Feb 14,4318.93
26 Feb 14,4292.06
25 Feb 14,4287.59
24 Feb 14,4292.97
21 Feb 14,4263.41
20 Feb 14,4267.55
19 Feb 14,4237.95
18 Feb 14,4272.78
14 Feb 14,4244.02
13 Feb 14,4240.67
12 Feb 14,4201.29
11 Feb 14,4191.05
10 Feb 14,4148.17
07 Feb 14,4125.86
06 Feb 14,4057.12
05 Feb 14,4011.55
04 Feb 14,4031.52
03 Feb 14,3996.96
31 Jan 14,4103.88
30 Jan 14,4123.13
29 Jan 14,4051.43
28 Jan 14,4097.96
27 Jan 14,4083.61
24 Jan 14,4128.17
23 Jan 14,4218.88
22 Jan 14,4243.00
21 Jan 14,4225.76
17 Jan 14,4197.58
16 Jan 14,4218.69
15 Jan 14,4214.88
14 Jan 14,4183.02
13 Jan 14,4113.30
10 Jan 14,4174.67
09 Jan 14,4156.19
08 Jan 14,4165.61
07 Jan 14,4153.18
06 Jan 14,4113.68
03 Jan 14,4131.91
02 Jan 14,4143.07
31 Dec 13,4176.59
30 Dec 13,4154.20
27 Dec 13,4156.59
26 Dec 13,4167.18
24 Dec 13,4155.42
23 Dec 13,4148.90
20 Dec 13,4104.74
19 Dec 13,4058.14
18 Dec 13,4070.06
17 Dec 13,4023.68
16 Dec 13,4029.52
13 Dec 13,4000.98
12 Dec 13,3998.40
11 Dec 13,4003.81
10 Dec 13,4060.49
09 Dec 13,4068.75
06 Dec 13,4062.52
05 Dec 13,4033.17
04 Dec 13,4038.00
03 Dec 13,4037.20
02 Dec 13,4045.26
29 Nov 13,4059.89
27 Nov 13,4044.75
