date,close
21 Aug 14,58992.00
20 Aug 14,58878.00
19 Aug 14,58449.00
18 Aug 14,57561.00
15 Aug 14,56964.00
14 Aug 14,55780.00
13 Aug 14,55581.00
12 Aug 14,56442.00
11 Aug 14,56613.00
08 Aug 14,55573.00
07 Aug 14,56188.00
06 Aug 14,56487.00
05 Aug 14,56202.00
04 Aug 14,56616.00
01 Aug 14,55903.00
31 Jul 14,55829.00
30 Jul 14,56878.00
29 Jul 14,57119.00
28 Jul 14,57696.00
25 Jul 14,57821.00
24 Jul 14,57978.00
23 Jul 14,57420.00
22 Jul 14,57983.00
21 Jul 14,57634.00
18 Jul 14,57013.00
17 Jul 14,55638.00
16 Jul 14,55717.00
15 Jul 14,55974.00
14 Jul 14,55744.00
11 Jul 14,54786.00
10 Jul 14,54593.00
08 Jul 14,53634.00
07 Jul 14,53802.00
04 Jul 14,54055.00
03 Jul 14,53875.00
02 Jul 14,53029.00
01 Jul 14,53171.00
30 Jun 14,53168.00
27 Jun 14,53157.00
26 Jun 14,53506.00
25 Jun 14,53426.00
24 Jun 14,54281.00
23 Jun 14,54210.00
20 Jun 14,54638.00
18 Jun 14,55202.00
17 Jun 14,54300.00
16 Jun 14,54630.00
13 Jun 14,54807.00
11 Jun 14,55102.00
10 Jun 14,54604.00
09 Jun 14,54273.00
06 Jun 14,53129.00
05 Jun 14,51559.00
04 Jun 14,51833.00
03 Jun 14,52032.00
02 Jun 14,51606.00
30 May 14,51239.00
29 May 14,52239.00
28 May 14,52640.00
27 May 14,52172.00
26 May 14,52932.00
23 May 14,52626.00
22 May 14,52806.00
21 May 14,52203.00
20 May 14,52366.00
19 May 14,53353.00
16 May 14,53976.00
15 May 14,53856.00
14 May 14,54413.00
13 May 14,53907.00
12 May 14,54053.00
09 May 14,53100.00
08 May 14,53422.00
07 May 14,54053.00
06 May 14,53780.00
05 May 14,53446.00
02 May 14,52980.00
30 Apr 14,51626.00
29 Apr 14,51839.00
28 Apr 14,51384.00
25 Apr 14,51399.00
24 Apr 14,51817.00
23 Apr 14,51570.00
22 Apr 14,51977.00
17 Apr 14,52111.00
16 Apr 14,51201.00
15 Apr 14,50454.00
14 Apr 14,51596.00
11 Apr 14,51867.00
10 Apr 14,51127.00
09 Apr 14,51185.00
08 Apr 14,51629.00
07 Apr 14,52155.00
04 Apr 14,51082.00
03 Apr 14,51408.00
02 Apr 14,51701.00
01 Apr 14,50270.00
31 Mar 14,50415.00
28 Mar 14,49768.00
27 Mar 14,49647.00
26 Mar 14,47966.00
25 Mar 14,48180.00
24 Mar 14,47993.00
21 Mar 14,47381.00
20 Mar 14,47278.00
19 Mar 14,46567.00
18 Mar 14,46150.00
17 Mar 14,45118.00
14 Mar 14,44966.00
13 Mar 14,45444.00
12 Mar 14,45862.00
11 Mar 14,45698.00
10 Mar 14,45533.00
07 Mar 14,46244.00
06 Mar 14,47093.00
05 Mar 14,46589.00
28 Feb 14,47094.00
27 Feb 14,47607.00
26 Feb 14,46599.00
25 Feb 14,46716.00
24 Feb 14,47393.00
21 Feb 14,47380.00
20 Feb 14,47289.00
19 Feb 14,47151.00
18 Feb 14,46600.00
17 Feb 14,47576.00
14 Feb 14,48201.00
13 Feb 14,47813.00
12 Feb 14,48217.00
11 Feb 14,48463.00
10 Feb 14,47711.00
07 Feb 14,48074.00
06 Feb 14,47738.00
05 Feb 14,46624.00
04 Feb 14,46964.00
03 Feb 14,46148.00
31 Jan 14,47639.00
30 Jan 14,47244.00
29 Jan 14,47557.00
28 Jan 14,47841.00
27 Jan 14,47701.00
24 Jan 14,47787.00
23 Jan 14,48321.00
22 Jan 14,49300.00
21 Jan 14,48542.00
20 Jan 14,48708.00
17 Jan 14,49182.00
16 Jan 14,49696.00
15 Jan 14,50105.00
14 Jan 14,49703.00
13 Jan 14,49427.00
10 Jan 14,49696.00
09 Jan 14,49322.00
08 Jan 14,50577.00
07 Jan 14,50430.00
06 Jan 14,50974.00
03 Jan 14,50981.00
02 Jan 14,50341.00
30 Dec 13,51507.00
27 Dec 13,51267.00
26 Dec 13,51221.00
24 Dec 13,51356.00
23 Dec 13,51356.00
20 Dec 13,51186.00
19 Dec 13,50819.00
18 Dec 13,50563.00
17 Dec 13,50090.00
16 Dec 13,50280.00
13 Dec 13,50051.00
12 Dec 13,50122.00
11 Dec 13,50068.00
10 Dec 13,50993.00
09 Dec 13,51165.00
06 Dec 13,50944.00
05 Dec 13,50788.00
04 Dec 13,50216.00
03 Dec 13,50349.00
02 Dec 13,51245.00
29 Nov 13,52482.00
28 Nov 13,51847.00
27 Nov 13,51861.00
26 Nov 13,51447.00
25 Nov 13,52264.00
22 Nov 13,52801.00
21 Nov 13,52688.00
